prop_tag,prop_status,date_time,prop_value
020093L,1,"2020-07-14 08:45:04.945",775
021333L,1,"2020-07-14 08:45:04.945",3.1422444775000002
020123L,1,"2020-07-14 08:45:04.955",136
021343L,1,"2020-07-14 08:45:04.955",1.1295253925
020033L,1,"2020-07-14 08:45:04.960",714
021313L,1,"2020-07-14 08:45:04.960",2.2880529775
020053L,1,"2020-07-14 08:45:04.964",1238
020063L,1,"2020-07-14 08:45:04.964",71
021323L,1,"2020-07-14 08:45:04.964",3.5344006925
021053L,1,"2020-07-14 08:45:04.964",301.1102220444089
020093L,1,"2020-07-15 11:35:39.074",775
021333L,1,"2020-07-15 11:35:39.074",2.9493136075000006
020123L,1,"2020-07-15 11:35:39.083",136
021343L,1,"2020-07-15 11:35:39.083",1.6137647425000001
020033L,1,"2020-07-15 11:35:39.089",714
021313L,1,"2020-07-15 11:35:39.089",2.4161087125
020053L,1,"2020-07-15 11:35:39.095",1240
020063L,1,"2020-07-15 11:35:39.095",70
021323L,1,"2020-07-15 11:35:39.095",2.6782105775000002
021053L,1,"2020-07-15 11:35:39.095",299.4498899779956
020093L,1,"2020-07-11 06:39:52.477",777
021333L,1,"2020-07-11 06:39:52.477",2.6112859675000006
020123L,1,"2020-07-11 06:39:52.487",138
021343L,1,"2020-07-11 06:39:52.487",0.9588961925
020033L,1,"2020-07-11 06:39:52.492",714
021313L,1,"2020-07-11 06:39:52.492",2.3410143
020053L,1,"2020-07-11 06:39:52.496",1238
020063L,1,"2020-07-11 06:39:52.496",70
021323L,1,"2020-07-11 06:39:52.496",3.12703277
021053L,1,"2020-07-11 06:39:52.496",299.3598719743949
020093L,1,"2020-07-09 08:29:38.965",775
021333L,1,"2020-07-09 08:29:38.965",2.8050140725000006
020123L,1,"2020-07-09 08:29:38.978",135
021343L,1,"2020-07-09 08:29:38.978",1.2345887425000002
020033L,1,"2020-07-09 08:29:38.984",716
021313L,1,"2020-07-09 08:29:38.984",2.2991195225000003
020053L,1,"2020-07-09 08:29:38.989",1238
020063L,1,"2020-07-09 08:29:38.989",71
021323L,1,"2020-07-09 08:29:38.989",3.0162223175000005
021053L,1,"2020-07-09 08:29:38.989",301.7903580716143
020093L,1,"2020-07-10 16:06:34.079",775
021333L,1,"2020-07-10 16:06:34.079",2.5730186875000003
020123L,1,"2020-07-10 16:06:34.088",136
021343L,1,"2020-07-10 16:06:34.088",1.1287354425
020033L,1,"2020-07-10 16:06:34.094",717
021313L,1,"2020-07-10 16:06:34.094",2.24932007
020053L,1,"2020-07-10 16:06:34.098",1236
020063L,1,"2020-07-10 16:06:34.098",70
021323L,1,"2020-07-10 16:06:34.098",3.591001715
021053L,1,"2020-07-10 16:06:34.098",297.97959591918385
020093L,1,"2020-07-11 04:16:42.706",776
021333L,1,"2020-07-11 04:16:42.706",2.8576315825000003
020123L,1,"2020-07-11 04:16:42.723",136
021343L,1,"2020-07-11 04:16:42.723",1.0923977425
020033L,1,"2020-07-11 04:16:42.728",716
021313L,1,"2020-07-11 04:16:42.728",2.342595235
020053L,1,"2020-07-11 04:16:42.733",1240
020063L,1,"2020-07-11 04:16:42.733",70
021323L,1,"2020-07-11 04:16:42.733",3.2139272974999997
021053L,1,"2020-07-11 04:16:42.733",300.02000400080016
020093L,1,"2020-07-10 23:23:13.408",776
021333L,1,"2020-07-10 23:23:13.408",2.9509080775000003
020123L,1,"2020-07-10 23:23:13.418",136
021343L,1,"2020-07-10 23:23:13.418",1.3712500925000002
020033L,1,"2020-07-10 23:23:13.423",714
021313L,1,"2020-07-10 23:23:13.423",2.064350675
020053L,1,"2020-07-10 23:23:13.427",1238
020063L,1,"2020-07-10 23:23:13.427",70
021323L,1,"2020-07-10 23:23:13.427",3.7145673275
021053L,1,"2020-07-10 23:23:13.427",298.5497099419884
020093L,1,"2020-07-11 14:18:00.415",775
021333L,1,"2020-07-11 14:18:00.415",2.7635578525000004
020123L,1,"2020-07-11 14:18:00.424",135
021343L,1,"2020-07-11 14:18:00.424",1.4771033925
020033L,1,"2020-07-11 14:18:00.429",715
021313L,1,"2020-07-11 14:18:00.429",2.0493317925000003
020053L,1,"2020-07-11 14:18:00.434",1240
020063L,1,"2020-07-11 14:18:00.434",71
021323L,1,"2020-07-11 14:18:00.434",2.5394982125000003
021053L,1,"2020-07-11 14:18:00.434",299.27985597119425
020093L,1,"2020-07-13 12:56:50.603",774
021333L,1,"2020-07-13 12:56:50.603",2.9843919475000003
020123L,1,"2020-07-13 12:56:50.611",136
021343L,1,"2020-07-13 12:56:50.611",1.4897425924999999
020033L,1,"2020-07-13 12:56:50.616",716
021313L,1,"2020-07-13 12:56:50.616",2.374213935
020053L,1,"2020-07-13 12:56:50.621",1234
020063L,1,"2020-07-13 12:56:50.621",71
021323L,1,"2020-07-13 12:56:50.621",2.7244480325000002
021053L,1,"2020-07-13 12:56:50.621",298.12962592518505
020093L,1,"2020-07-08 02:54:24.518",776
021333L,1,"2020-07-08 02:54:24.518",2.8520509375000005
020123L,1,"2020-07-08 02:54:24.528",137
021343L,1,"2020-07-08 02:54:24.528",1.1445344425000001
020033L,1,"2020-07-08 02:54:24.533",715
021313L,1,"2020-07-08 02:54:24.533",2.2912148475
020053L,1,"2020-07-08 02:54:24.538",1242
020063L,1,"2020-07-08 02:54:24.538",70
021323L,1,"2020-07-08 02:54:24.538",4.2837663425
021053L,1,"2020-07-08 02:54:24.538",298.5497099419884
020093L,1,"2020-07-09 14:13:16.898",775
021333L,1,"2020-07-09 14:13:16.898",3.5631845575000005
020123L,1,"2020-07-09 14:13:16.907",135
021343L,1,"2020-07-09 14:13:16.907",1.1800821925
020033L,1,"2020-07-09 14:13:16.912",714
021313L,1,"2020-07-09 14:13:16.912",2.1892445400000002
020053L,1,"2020-07-09 14:13:16.917",1236
020063L,1,"2020-07-09 14:13:16.917",70
021323L,1,"2020-07-09 14:13:16.917",3.6404279600000002
021053L,1,"2020-07-09 14:13:16.917",299.1798359671934
020093L,1,"2020-07-13 03:31:21.607",774
021333L,1,"2020-07-13 03:31:21.607",3.0465762775000007
020123L,1,"2020-07-13 03:31:21.616",136
021343L,1,"2020-07-13 03:31:21.616",1.2598671424999999
020033L,1,"2020-07-13 03:31:21.621",714
021313L,1,"2020-07-13 03:31:21.621",2.3449666375
020053L,1,"2020-07-13 03:31:21.625",1238
020063L,1,"2020-07-13 03:31:21.625",71
021323L,1,"2020-07-13 03:31:21.625",2.9412857525000002
021053L,1,"2020-07-13 03:31:21.625",299.3398679735947
020093L,1,"2020-07-15 07:53:47.271",776
021333L,1,"2020-07-15 07:53:47.271",2.8823458675
020123L,1,"2020-07-15 07:53:47.279",136
021343L,1,"2020-07-15 07:53:47.279",1.3041043425
020033L,1,"2020-07-15 07:53:48.269",715
021313L,1,"2020-07-15 07:53:48.269",2.2564342775000004
