prop_tag,prop_status,date_time,prop_value
020093L,1,"2020-07-06 18:41:39.241",776
021333L,1,"2020-07-06 18:41:39.241",2.7547882675000004
020123L,1,"2020-07-06 18:41:39.251",136
021343L,1,"2020-07-06 18:41:39.251",1.4494551425
020033L,1,"2020-07-06 18:41:39.256",715
021313L,1,"2020-07-06 18:41:39.256",2.424803855
020053L,1,"2020-07-06 18:41:39.261",1238
020063L,1,"2020-07-06 18:41:39.261",70
021323L,1,"2020-07-06 18:41:39.261",2.8105453625000005
021053L,1,"2020-07-06 18:41:39.261",298.59971994398876
020093L,1,"2020-07-02 13:24:15.192",774
021333L,1,"2020-07-02 13:24:15.192",3.1805117575
020123L,1,"2020-07-02 13:24:15.202",136
021343L,1,"2020-07-02 13:24:15.202",1.3254329925
020033L,1,"2020-07-02 13:24:15.207",715
021313L,1,"2020-07-02 13:24:15.207",2.2580152125
020053L,1,"2020-07-02 13:24:15.211",1236
020063L,1,"2020-07-02 13:24:15.211",70
021323L,1,"2020-07-02 13:24:15.211",3.265745135
021053L,1,"2020-07-02 13:24:15.211",298.5397079415883
020093L,1,"2020-07-03 02:45:59.146",775
021333L,1,"2020-07-03 02:45:59.146",2.4582168475
020123L,1,"2020-07-03 02:45:59.162",135
021343L,1,"2020-07-03 02:45:59.162",1.1034570425
020033L,1,"2020-07-03 02:45:59.167",714
021313L,1,"2020-07-03 02:45:59.167",2.0074370150000003
020053L,1,"2020-07-03 02:45:59.172",1242
020063L,1,"2020-07-03 02:45:59.172",70
021323L,1,"2020-07-03 02:45:59.172",2.3346184549999998
021053L,1,"2020-07-03 02:45:59.172",299.37987597519503
020093L,1,"2020-07-01 21:25:03.785",774
021333L,1,"2020-07-01 21:25:03.785",2.9995394125000003
020123L,1,"2020-07-01 21:25:03.795",135
021343L,1,"2020-07-01 21:25:03.795",1.3159535925
020033L,1,"2020-07-01 21:25:03.800",715
021313L,1,"2020-07-01 21:25:03.800",2.162368645
020053L,1,"2020-07-01 21:25:03.804",1240
020063L,1,"2020-07-01 21:25:03.804",70
021323L,1,"2020-07-01 21:25:03.804",4.0876557575
021053L,1,"2020-07-01 21:25:03.804",298.4396879375875
020093L,1,"2020-07-03 05:37:47.893",775
021333L,1,"2020-07-03 05:37:47.893",3.3040831825000003
020123L,1,"2020-07-03 05:37:47.902",134
021343L,1,"2020-07-03 05:37:47.902",1.3807294925
020033L,1,"2020-07-03 05:37:47.907",715
021313L,1,"2020-07-03 05:37:47.907",2.42638479
020053L,1,"2020-07-03 05:37:47.912",1236
020063L,1,"2020-07-03 05:37:47.912",71
021323L,1,"2020-07-03 05:37:47.912",3.705798155
021053L,1,"2020-07-03 05:37:47.912",299.1098219643929
020093L,1,"2020-07-03 00:44:17.340",776
021333L,1,"2020-07-03 00:44:17.340",2.8369034725000004
020123L,1,"2020-07-03 00:44:17.356",134
021343L,1,"2020-07-03 00:44:17.356",1.0173524925000001
020033L,1,"2020-07-03 00:44:17.361",714
021313L,1,"2020-07-03 00:44:17.361",2.2833101725000002
020053L,1,"2020-07-03 00:44:17.365",1242
020063L,1,"2020-07-03 00:44:17.365",70
021323L,1,"2020-07-03 00:44:17.365",2.5586309525
021053L,1,"2020-07-03 00:44:17.365",297.60952190438087
020093L,1,"2020-07-02 11:01:07.579",774
021333L,1,"2020-07-02 11:01:07.579",3.0569403325000004
020123L,1,"2020-07-02 11:01:07.588",135
021343L,1,"2020-07-02 11:01:07.588",1.2029907425
020033L,1,"2020-07-02 11:01:07.593",714
021313L,1,"2020-07-02 11:01:07.593",2.529145565
020053L,1,"2020-07-02 11:01:07.598",1240
020063L,1,"2020-07-02 11:01:07.598",70
021323L,1,"2020-07-02 11:01:07.598",2.6064628025000003
021053L,1,"2020-07-02 11:01:07.598",298.46969393878777
020093L,1,"2020-07-08 02:54:24.518",776
021333L,1,"2020-07-08 02:54:24.518",2.8520509375000005
020123L,1,"2020-07-08 02:54:24.528",137
021343L,1,"2020-07-08 02:54:24.528",1.1445344425000001
020033L,1,"2020-07-08 02:54:24.533",715
021313L,1,"2020-07-08 02:54:24.533",2.2912148475
020053L,1,"2020-07-08 02:54:24.538",1242
020063L,1,"2020-07-08 02:54:24.538",70
021323L,1,"2020-07-08 02:54:24.538",4.2837663425
021053L,1,"2020-07-08 02:54:24.538",298.5497099419884
020093L,1,"2020-07-03 19:13:49.259",776
021333L,1,"2020-07-03 19:13:49.259",2.6519449525000005
020123L,1,"2020-07-03 19:13:49.268",135
021343L,1,"2020-07-03 19:13:49.268",1.2409083425
020033L,1,"2020-07-03 19:13:49.273",715
021313L,1,"2020-07-03 19:13:49.273",2.056446
020053L,1,"2020-07-03 19:13:49.278",1234
020063L,1,"2020-07-03 19:13:49.278",70
021323L,1,"2020-07-03 19:13:49.278",3.9585097625000003
021053L,1,"2020-07-03 19:13:49.278",298.6997399479896
020093L,1,"2020-07-02 22:21:08.803",778
021333L,1,"2020-07-02 22:21:08.803",2.8042168375000003
020123L,1,"2020-07-02 22:21:08.814",135
021343L,1,"2020-07-02 22:21:08.814",1.2006208925
020033L,1,"2020-07-02 22:21:09.805",716
021313L,1,"2020-07-02 22:21:09.805",2.2406249275
020053L,1,"2020-07-02 22:21:09.817",1240
020063L,1,"2020-07-02 22:21:09.817",70
021323L,1,"2020-07-02 22:21:09.817",3.3087938
021053L,1,"2020-07-02 22:21:09.817",300.6901380276055
020093L,1,"2020-07-07 17:14:36.076",775
021333L,1,"2020-07-07 17:14:36.076",2.9748251275000004
020123L,1,"2020-07-07 17:14:36.087",134
021343L,1,"2020-07-07 17:14:36.087",1.4881626925
020033L,1,"2020-07-07 17:14:36.577",715
021313L,1,"2020-07-07 17:14:36.577",2.1860826700000002
020053L,1,"2020-07-07 17:14:36.587",1240
020063L,1,"2020-07-07 17:14:36.587",70
021323L,1,"2020-07-07 17:14:36.587",3.09195608
021053L,1,"2020-07-07 17:14:36.587",300.3600720144029
020093L,1,"2020-07-01 07:20:17.868",774
021333L,1,"2020-07-01 07:20:17.868",3.1892813425000006
020123L,1,"2020-07-01 07:20:17.872",137
021343L,1,"2020-07-01 07:20:17.872",5.6172313425
020033L,1,"2020-07-01 07:20:17.877",715
021313L,1,"2020-07-01 07:20:17.877",2.0430080525000003
020053L,1,"2020-07-01 07:20:17.881",1238
