prop_tag,prop_status,date_time,prop_value
020093R,1,"2020-07-06 19:38:53.909",774
021333R,1,"2020-07-06 19:38:53.909",2.1839380525
020123R,1,"2020-07-06 19:38:53.918",134
021343R,1,"2020-07-06 19:38:53.918",1.42311809
020033R,1,"2020-07-06 19:38:53.923",716
021313R,1,"2020-07-06 19:38:53.923",2.0444287025000003
020053R,1,"2020-07-06 19:38:53.927",1240
020063R,1,"2020-07-06 19:38:53.927",70
021323R,1,"2020-07-06 19:38:53.927",2.1555474175000002
021053R,1,"2020-07-06 19:38:53.927",299.3898779755951
020093R,1,"2020-07-05 04:02:23.419",775
021333R,1,"2020-07-05 04:02:23.419",2.1982787875
020123R,1,"2020-07-05 04:02:23.428",135
021343R,1,"2020-07-05 04:02:23.428",1.1964404675000002
020033R,1,"2020-07-05 04:02:23.433",715
021313R,1,"2020-07-05 04:02:23.433",2.2519922475
020053R,1,"2020-07-05 04:02:23.438",1236
020063R,1,"2020-07-05 04:02:23.438",71
021323R,1,"2020-07-05 04:02:23.438",2.5204978475000006
021053R,1,"2020-07-05 04:02:23.438",296.2892578515703
020093R,1,"2020-07-01 09:29:14.536",775
021333R,1,"2020-07-01 09:29:14.536",2.253251605
020123R,1,"2020-07-01 09:29:14.545",136
021343R,1,"2020-07-01 09:29:14.545",1.0368973325000002
020033R,1,"2020-07-01 09:29:14.550",716
021313R,1,"2020-07-01 09:29:14.550",2.1265070625
020053R,1,"2020-07-01 09:29:14.555",1240
020063R,1,"2020-07-01 09:29:14.555",70
021323R,1,"2020-07-01 09:29:14.555",2.5579490925000004
021053R,1,"2020-07-01 09:29:14.555",299.07981596319263
020093R,1,"2020-07-01 07:27:33.714",776
021333R,1,"2020-07-01 07:27:33.714",2.3719610225000003
020123R,1,"2020-07-01 07:27:33.723",135
021343R,1,"2020-07-01 07:27:33.723",1.1648477675000002
020033R,1,"2020-07-01 07:27:33.728",715
021313R,1,"2020-07-01 07:27:33.728",1.9907620825000003
020053R,1,"2020-07-01 07:27:33.733",1240
020063R,1,"2020-07-01 07:27:33.733",70
021323R,1,"2020-07-01 07:27:33.733",2.2264657325000003
021053R,1,"2020-07-01 07:27:33.733",300.3600720144029
020093R,1,"2020-07-03 04:19:02.830",776
021333R,1,"2020-07-03 04:19:02.830",2.422153595
020123R,1,"2020-07-03 04:19:02.835",135
021343R,1,"2020-07-03 04:19:02.835",1.1506310525
020033R,1,"2020-07-03 04:19:02.840",715
021313R,1,"2020-07-03 04:19:02.840",2.1091443325
020053R,1,"2020-07-03 04:19:02.844",1238
020063R,1,"2020-07-03 04:19:02.844",70
021323R,1,"2020-07-03 04:19:02.844",2.0471778575000004
021053R,1,"2020-07-03 04:19:02.844",298.1896379275855
020093R,1,"2020-07-02 10:18:09.667",774
021333R,1,"2020-07-02 10:18:09.667",2.7830620925
020123R,1,"2020-07-02 10:18:09.671",135
021343R,1,"2020-07-02 10:18:09.671",1.22092481
020033R,1,"2020-07-02 10:18:09.676",715
021313R,1,"2020-07-02 10:18:09.676",2.4343009125000004
020053R,1,"2020-07-02 10:18:09.681",1242
020063R,1,"2020-07-02 10:18:09.681",70
021323R,1,"2020-07-02 10:18:09.681",2.8719020825
021053R,1,"2020-07-02 10:18:09.681",297.8895779155831
020093R,1,"2020-07-05 15:43:52.869",775
021333R,1,"2020-07-05 15:43:52.869",2.54484655
020123R,1,"2020-07-05 15:43:52.879",134
021343R,1,"2020-07-05 15:43:52.879",1.2296128025000002
020033R,1,"2020-07-05 15:43:52.883",716
021313R,1,"2020-07-05 15:43:52.883",2.0696835825
020053R,1,"2020-07-05 15:43:52.888",1240
020063R,1,"2020-07-05 15:43:52.888",70
021323R,1,"2020-07-05 15:43:52.888",2.7340496275
021053R,1,"2020-07-05 15:43:52.888",299.2198439687937
020093R,1,"2020-07-07 07:41:54.013",773
021333R,1,"2020-07-07 07:41:54.013",3.8171884275
020123R,1,"2020-07-07 07:41:54.020",136
021343R,1,"2020-07-07 07:41:54.020",0.9642341225000001
