prop_tag,prop_status,date_time,prop_value
020093R,1,"2020-07-07 06:51:48.067",773
021333R,1,"2020-07-07 06:51:48.067",2.9857636925
020123R,1,"2020-07-07 06:51:48.076",136
021343R,1,"2020-07-07 06:51:48.076",1.2105245725
020033R,1,"2020-07-07 06:51:48.081",715
021313R,1,"2020-07-07 06:51:48.081",2.16245454
020053R,1,"2020-07-07 06:51:48.085",1236
020063R,1,"2020-07-07 06:51:48.085",70
021323R,1,"2020-07-07 06:51:48.085",2.54932111
021053R,1,"2020-07-07 06:51:48.085",301.1802360472094
020093R,1,"2020-07-02 13:31:25.611",778
021333R,1,"2020-07-02 13:31:25.611",2.4961831175
020123R,1,"2020-07-02 13:31:25.620",135
021343R,1,"2020-07-02 13:31:25.620",1.1852632925000002
020033R,1,"2020-07-02 13:31:25.624",716
021313R,1,"2020-07-02 13:31:25.624",2.1237337600000004
020053R,1,"2020-07-02 13:31:25.629",1240
020063R,1,"2020-07-02 13:31:25.629",70
021323R,1,"2020-07-02 13:31:25.629",3.1096279275
021053R,1,"2020-07-02 13:31:25.629",300.630126025205
020093R,1,"2020-07-01 19:30:31.538",775
021333R,1,"2020-07-01 19:30:31.538",2.8438331675
020123R,1,"2020-07-01 19:30:31.546",135
021343R,1,"2020-07-01 19:30:31.546",1.1623702575000001
020033R,1,"2020-07-01 19:30:31.551",714
021313R,1,"2020-07-01 19:30:31.551",2.14032838
020053R,1,"2020-07-01 19:30:31.555",1234
020063R,1,"2020-07-01 19:30:31.555",70
021323R,1,"2020-07-01 19:30:31.555",2.7190869025000004
021053R,1,"2020-07-01 19:30:31.555",300.73014602920586
020093R,1,"2020-07-02 07:54:58.211",777
021333R,1,"2020-07-02 07:54:58.211",2.4595044425
020123R,1,"2020-07-02 07:54:58.219",136
021343R,1,"2020-07-02 07:54:58.219",0.9397552275000001
020033R,1,"2020-07-02 07:54:58.224",714
021313R,1,"2020-07-02 07:54:58.224",2.3655410800000003
020053R,1,"2020-07-02 07:54:58.229",1242
020063R,1,"2020-07-02 07:54:58.229",71
021323R,1,"2020-07-02 07:54:58.229",1.8997477725000003
021053R,1,"2020-07-02 07:54:58.229",298.6497299459892
020093R,1,"2020-07-02 02:11:23.493",773
021333R,1,"2020-07-02 02:11:23.493",2.2713268925
020123R,1,"2020-07-02 02:11:23.501",136
021343R,1,"2020-07-02 02:11:23.501",1.2271022875000002
020033R,1,"2020-07-02 02:11:23.506",716
021313R,1,"2020-07-02 02:11:23.506",2.1837904800000003
020053R,1,"2020-07-02 02:11:23.511",1240
020063R,1,"2020-07-02 02:11:23.511",71
021323R,1,"2020-07-02 02:11:23.511",2.1460277250000006
021053R,1,"2020-07-02 02:11:23.511",300.6001200240048
020093R,1,"2020-07-07 08:24:42.389",777
021333R,1,"2020-07-07 08:24:42.389",2.5751220049999994
020123R,1,"2020-07-07 08:24:42.396",135
021343R,1,"2020-07-07 08:24:42.396",0.9468599625000002
020033R,1,"2020-07-07 08:24:51.432",717
021313R,1,"2020-07-07 08:24:51.432",2.1434892600000004
020053R,0,"2020-07-07 08:24:51.437",0
020063R,0,"2020-07-07 08:24:51.437",0
021323R,1,"2020-07-07 08:24:51.437",0.02435383
021053R,0,"2020-07-07 08:24:51.437",329.8959791958392
020093R,1,"2020-07-05 17:31:16.469",774
021333R,1,"2020-07-05 17:31:16.469",2.8478199799999997
020123R,1,"2020-07-05 17:31:16.477",136
021343R,1,"2020-07-05 17:31:16.477",1.1378983925000001
020033R,1,"2020-07-05 17:31:16.481",715
021313R,1,"2020-07-05 17:31:16.481",1.9648995400000002
020053R,1,"2020-07-05 17:31:16.486",1240
020063R,1,"2020-07-05 17:31:16.486",70
021323R,1,"2020-07-05 17:31:16.486",2.9430502250000004
021053R,1,"2020-07-05 17:31:16.486",299.89997999599916
020093R,1,"2020-07-04 21:35:51.171",775
021333R,1,"2020-07-04 21:35:51.171",2.5424301424999998
020123R,1,"2020-07-04 21:35:51.180",135
021343R,1,"2020-07-04 21:35:51.180",1.1268465825000002
020033R,1,"2020-07-04 21:35:51.185",715
021313R,1,"2020-07-04 21:35:51.185",2.2391058800000003
020053R,1,"2020-07-04 21:35:51.190",1242
020063R,1,"2020-07-04 21:35:51.190",71
021323R,1,"2020-07-04 21:35:51.190",2.2807245275000003
021053R,1,"2020-07-04 21:35:51.190",299.4898979795959
020093R,1,"2020-07-01 10:04:58.410",774
021333R,1,"2020-07-01 10:04:58.410",2.5025620175000003
020123R,1,"2020-07-01 10:04:58.419",136
021343R,1,"2020-07-01 10:04:58.419",1.3565663475000003
020033R,1,"2020-07-01 10:04:58.424",715
021313R,1,"2020-07-01 10:04:58.424",1.99334746
020053R,1,"2020-07-01 10:04:58.428",1238
020063R,1,"2020-07-01 10:04:58.428",71
021323R,1,"2020-07-01 10:04:58.428",0.0155865825
021053R,1,"2020-07-01 10:04:58.428",300.6001200240048
020093R,1,"2020-07-03 16:36:20.770",775
021333R,1,"2020-07-03 16:36:20.770",2.5942587049999997
020123R,1,"2020-07-03 16:36:20.787",135
021343R,1,"2020-07-03 16:36:20.787",1.3352521425000003
020033R,1,"2020-07-03 16:36:20.792",714
021313R,1,"2020-07-03 16:36:20.792",2.1664056400000002
020053R,1,"2020-07-03 16:36:20.796",1240
020063R,1,"2020-07-03 16:36:20.796",71
021323R,1,"2020-07-03 16:36:20.796",3.5105302450000004
021053R,1,"2020-07-03 16:36:20.796",297.5895179035807
020093R,1,"2020-07-07 11:59:35.726",777
021333R,1,"2020-07-07 11:59:35.726",2.3287369925
020123R,1,"2020-07-07 11:59:35.735",136
021343R,1,"2020-07-07 11:59:35.735",1.1173736025
020033R,1,"2020-07-07 11:59:35.740",714
021313R,1,"2020-07-07 11:59:35.740",2.1988046600000004
020053R,1,"2020-07-07 11:59:35.744",1240
020063R,1,"2020-07-07 11:59:35.744",71
021323R,1,"2020-07-07 11:59:35.744",2.225729975
021053R,1,"2020-07-07 11:59:35.744",300.86017203440684
020093R,1,"2020-07-06 02:42:30.189",774
021333R,1,"2020-07-06 02:42:30.189",2.7975861424999997
020123R,1,"2020-07-06 02:42:30.198",135
021343R,1,"2020-07-06 02:42:30.198",1.4118253975000004
020033R,1,"2020-07-06 02:42:30.203",715
021313R,1,"2020-07-06 02:42:30.203",2.10318804
020053R,1,"2020-07-06 02:42:30.208",1236
020063R,1,"2020-07-06 02:42:30.208",70
021323R,1,"2020-07-06 02:42:30.208",2.1571860400000005
021053R,1,"2020-07-06 02:42:30.208",299.879975995199
020093R,1,"2020-07-07 19:16:07.391",775
021333R,1,"2020-07-07 19:16:07.391",2.3526578675
020123R,1,"2020-07-07 19:16:07.399",137
021343R,1,"2020-07-07 19:16:07.399",0.9279140025
020033R,1,"2020-07-07 19:16:15.930",715
021313R,1,"2020-07-07 19:16:15.930",1.9514658000000003
020053R,1,"2020-07-07 19:16:15.935",1240
020063R,1,"2020-07-07 19:16:15.935",71
021323R,1,"2020-07-07 19:16:15.935",2.1563890175000004
021053R,1,"2020-07-07 19:16:15.935",302.4404880976195
020093R,1,"2020-07-08 10:25:23.047",777
021333R,1,"2020-07-08 10:25:23.047",3.0766630174999996
020123R,1,"2020-07-08 10:25:23.056",136
021343R,1,"2020-07-08 10:25:23.056",1.3044649575000002
020033R,1,"2020-07-08 10:25:23.061",715
021313R,1,"2020-07-08 10:25:23.061",2.44614352
020053R,1,"2020-07-08 10:25:23.065",1234
020063R,1,"2020-07-08 10:25:23.065",70
021323R,1,"2020-07-08 10:25:23.065",2.50787594
021053R,1,"2020-07-08 10:25:23.065",298.8497699539908
020093R,1,"2020-07-04 06:19:31.275",776
021333R,1,"2020-07-04 06:19:31.275",3.15400718
020123R,1,"2020-07-04 06:19:31.283",136
021343R,1,"2020-07-04 06:19:31.283",1.8167952925000002
020033R,1,"2020-07-04 06:19:31.288",716
021313R,1,"2020-07-04 06:19:31.288",1.8511078600000004
020053R,1,"2020-07-04 06:19:31.292",1240
020063R,1,"2020-07-04 06:19:31.292",71
021323R,1,"2020-07-04 06:19:31.292",2.77248741
021053R,1,"2020-07-04 06:19:31.292",300.0300060012002
020093R,1,"2020-07-03 03:36:05.465",774
021333R,1,"2020-07-03 03:36:05.465",2.8541988799999993
020123R,1,"2020-07-03 03:36:05.474",135
021343R,1,"2020-07-03 03:36:05.474",1.0415897625000001
020033R,1,"2020-07-03 03:36:05.478",714
021313R,1,"2020-07-03 03:36:05.478",2.0699988000000005
020053R,1,"2020-07-03 03:36:05.483",1242
020063R,1,"2020-07-03 03:36:05.483",70
021323R,1,"2020-07-03 03:36:05.483",2.4783861075000004
021053R,1,"2020-07-03 03:36:05.483",297.70954190838165
020093R,1,"2020-07-06 18:48:49.869",775
021333R,1,"2020-07-06 18:48:49.869",2.2673400800000003
020123R,1,"2020-07-06 18:48:49.879",135
021343R,1,"2020-07-06 18:48:49.879",1.4915563125000002
020033R,1,"2020-07-06 18:48:49.884",716
021313R,1,"2020-07-06 18:48:49.884",2.2746657800000003
020053R,1,"2020-07-06 18:48:49.888",1238
020063R,1,"2020-07-06 18:48:49.888",70
021323R,1,"2020-07-06 18:48:49.888",3.7217412075
021053R,1,"2020-07-06 18:48:49.888",298.89977995599116
020093R,1,"2020-07-01 19:44:44.611",777
021333R,1,"2020-07-01 19:44:44.611",2.323155455
020123R,1,"2020-07-01 19:44:44.619",135
021343R,1,"2020-07-01 19:44:44.619",1.1134265275000002
020033R,1,"2020-07-01 19:44:53.152",715
021313R,1,"2020-07-01 19:44:53.152",2.1142511200000005
020053R,1,"2020-07-01 19:44:55.832",1238
020063R,1,"2020-07-01 19:44:55.832",71
021323R,1,"2020-07-01 19:44:55.832",2.640181675
021053R,1,"2020-07-01 19:44:55.832",298.60972194438887
020093R,1,"2020-07-02 15:04:31.689",774
021333R,1,"2020-07-02 15:04:31.689",2.17803548
020123R,1,"2020-07-02 15:04:31.697",134
021343R,1,"2020-07-02 15:04:31.697",1.2713095275000001
020033R,1,"2020-07-02 15:04:31.702",714
021313R,1,"2020-07-02 15:04:31.702",1.9585777800000002
020053R,1,"2020-07-02 15:04:31.706",1240
020063R,1,"2020-07-02 15:04:31.706",70
021323R,1,"2020-07-02 15:04:31.706",2.87769438
021053R,1,"2020-07-02 15:04:31.706",296.3292658531706
020093R,1,"2020-07-02 15:40:11.321",775
021333R,1,"2020-07-02 15:40:11.321",2.377376105
020123R,1,"2020-07-02 15:40:11.328",136
021343R,1,"2020-07-02 15:40:11.328",1.0676404575
020033R,1,"2020-07-02 15:40:19.856",714
021313R,1,"2020-07-02 15:40:19.856",1.4891871
020053R,0,"2020-07-02 15:40:19.861",0
020063R,0,"2020-07-02 15:40:19.861",0
021323R,0,"2020-07-02 15:40:19.861",9.200473872500002
021053R,0,"2020-07-02 15:40:19.861",68.45369073814763
020093R,1,"2020-07-02 13:17:09.117",775
021333R,1,"2020-07-02 13:17:09.117",2.431596755
020123R,1,"2020-07-02 13:17:09.125",136
021343R,1,"2020-07-02 13:17:09.125",1.3834064575000002
020033R,1,"2020-07-02 13:17:09.130",715
021313R,1,"2020-07-02 13:17:09.130",2.1197826600000003
020053R,1,"2020-07-02 13:17:09.134",1238
020063R,1,"2020-07-02 13:17:09.134",71
021323R,1,"2020-07-02 13:17:09.134",2.860159885
021053R,1,"2020-07-02 13:17:09.134",299.9199839967994
