prop_tag,prop_status,date_time,prop_value
020093L,0,"2020-06-08 07:20:07.885",0
020123L,1,"2020-06-08 07:20:07.921",136
020033L,1,"2020-06-08 07:20:19.428",715
020063L,1,"2020-06-08 07:20:21.159",70
020093L,0,"2020-06-08 07:26:49.747",3
020123L,1,"2020-06-08 07:26:49.755",136
020033L,1,"2020-06-08 07:27:00.790",713
020063L,1,"2020-06-08 07:27:03.472",70
020093L,0,"2020-06-08 07:30:54.289",0
020123L,1,"2020-06-08 07:30:54.295",136
020033L,1,"2020-06-08 07:31:06.333",714
020063L,1,"2020-06-08 07:31:09.013",71
020093L,1,"2020-06-08 07:40:14.163",775
020123L,1,"2020-06-08 07:40:14.171",136
020033L,1,"2020-06-08 07:40:14.175",714
020063L,1,"2020-06-08 07:40:14.180",70
020093L,1,"2020-06-08 07:56:50.930",776
020123L,1,"2020-06-08 07:56:50.937",138
020033L,1,"2020-06-08 07:56:50.941",717
020063L,1,"2020-06-08 07:56:50.946",70
020093L,1,"2020-06-08 08:53:49.690",776
020123L,1,"2020-06-08 08:53:49.720",137
020033L,1,"2020-06-08 08:53:49.749",713
020063L,1,"2020-06-08 08:53:49.778",71
020093L,0,"2020-06-08 09:27:17.862",0
020123L,1,"2020-06-08 09:27:17.870",136
020033L,1,"2020-06-08 09:27:30.407",715
020063L,1,"2020-06-08 09:27:30.412",71
020093L,1,"2020-06-08 09:32:34.110",777
020123L,1,"2020-06-08 09:32:34.117",135
020033L,1,"2020-06-08 09:32:34.122",714
020063L,1,"2020-06-08 09:32:34.127",70
020093L,1,"2020-06-08 11:16:53.376",778
020123L,1,"2020-06-08 11:16:53.407",137
020033L,1,"2020-06-08 11:16:53.437",715
020063L,1,"2020-06-08 11:16:53.468",71
020093L,1,"2020-06-08 11:18:40.335",775
020123L,1,"2020-06-08 11:18:40.343",137
020033L,1,"2020-06-08 11:18:40.347",716
020063L,1,"2020-06-08 11:18:40.352",71
020093L,1,"2020-06-08 11:21:19.819",778
020123L,1,"2020-06-08 11:21:19.827",136
020033L,1,"2020-06-08 11:21:19.832",713
020063L,1,"2020-06-08 11:21:19.836",72
020093L,1,"2020-06-08 11:23:50.801",775
020123L,1,"2020-06-08 11:23:50.812",136
020033L,1,"2020-06-08 11:23:50.818",713
020063L,1,"2020-06-08 11:23:50.824",70
020093L,1,"2020-06-08 11:26:14.379",775
020123L,1,"2020-06-08 11:26:14.386",136
020033L,1,"2020-06-08 11:26:14.391",716
020063L,1,"2020-06-08 11:26:14.397",71
020093L,1,"2020-06-08 11:28:09.195",775
020123L,1,"2020-06-08 11:28:09.203",137
020033L,1,"2020-06-08 11:28:09.208",713
020063L,1,"2020-06-08 11:28:09.213",70
020093L,1,"2020-06-08 11:30:59.597",774
020123L,1,"2020-06-08 11:30:59.603",138
020033L,1,"2020-06-08 11:30:59.608",716
020063L,1,"2020-06-08 11:30:59.613",71
020093L,1,"2020-06-08 11:32:56.941",777
020123L,1,"2020-06-08 11:32:56.948",137
020033L,1,"2020-06-08 11:32:56.953",716
020063L,1,"2020-06-08 11:32:56.958",70
020093L,1,"2020-06-08 11:35:59.211",775
020123L,1,"2020-06-08 11:35:59.218",136
020033L,1,"2020-06-08 11:35:59.223",715
020063L,1,"2020-06-08 11:35:59.227",72
020093L,1,"2020-06-08 11:37:46.522",777
020123L,1,"2020-06-08 11:37:46.530",135
020033L,1,"2020-06-08 11:37:46.535",715
020063L,1,"2020-06-08 11:37:46.540",70
020093L,1,"2020-06-08 11:39:57.721",775
020123L,1,"2020-06-08 11:39:57.728",136
020033L,1,"2020-06-08 11:39:57.733",717
020063L,1,"2020-06-08 11:39:57.737",71
020093L,1,"2020-06-08 11:42:06.954",777
020123L,1,"2020-06-08 11:42:06.963",136
020033L,1,"2020-06-08 11:42:06.967",714
020063L,1,"2020-06-08 11:42:06.972",71
020093L,1,"2020-06-08 11:44:59.581",777
020123L,1,"2020-06-08 11:44:59.588",137
020033L,1,"2020-06-08 11:44:59.593",714
020063L,1,"2020-06-08 11:44:59.597",72
020093L,1,"2020-06-08 11:55:35.353",777
020123L,1,"2020-06-08 11:55:35.360",137
020033L,1,"2020-06-08 11:55:35.364",716
020063L,1,"2020-06-08 11:55:35.369",70
020093L,1,"2020-06-08 11:57:25.116",778
020123L,1,"2020-06-08 11:57:25.122",135
020033L,1,"2020-06-08 11:57:25.127",716
020063L,1,"2020-06-08 11:57:25.131",71
020093L,1,"2020-06-08 11:59:27.774",775
020123L,1,"2020-06-08 11:59:27.783",136
020033L,1,"2020-06-08 11:59:27.787",715
020063L,1,"2020-06-08 11:59:27.792",72
020093L,1,"2020-06-08 12:01:33.665",776
020123L,1,"2020-06-08 12:01:33.673",136
020033L,1,"2020-06-08 12:01:33.677",713
020063L,1,"2020-06-08 12:01:33.682",71
020093L,1,"2020-06-08 12:04:10.079",777
020123L,1,"2020-06-08 12:04:10.088",136
020033L,1,"2020-06-08 12:04:10.093",715
020063L,1,"2020-06-08 12:04:10.098",71
020093L,1,"2020-06-08 12:06:24.124",775
020123L,1,"2020-06-08 12:06:24.132",138
020033L,1,"2020-06-08 12:06:24.137",716
020063L,1,"2020-06-08 12:06:24.141",71
020093L,1,"2020-06-08 12:08:11.140",775
020123L,1,"2020-06-08 12:08:11.149",136
020033L,1,"2020-06-08 12:08:11.153",715
020063L,1,"2020-06-08 12:08:11.158",70
020093L,1,"2020-06-08 12:10:29.311",777
020123L,1,"2020-06-08 12:10:29.320",135
020033L,1,"2020-06-08 12:10:29.324",714
020063L,1,"2020-06-08 12:10:29.329",70
020093L,1,"2020-06-08 12:12:17.125",777
020123L,1,"2020-06-08 12:12:17.134",137
020033L,1,"2020-06-08 12:12:17.138",715
020063L,1,"2020-06-08 12:12:17.143",71
020093L,1,"2020-06-08 12:14:35.460",776
020123L,1,"2020-06-08 12:14:35.469",137
020033L,1,"2020-06-08 12:14:35.473",713
020063L,1,"2020-06-08 12:14:35.478",70
020093L,1,"2020-06-08 12:16:53.006",776
020123L,1,"2020-06-08 12:16:53.014",136
020033L,1,"2020-06-08 12:16:53.019",716
020063L,1,"2020-06-08 12:16:53.023",70
020093L,1,"2020-06-08 12:19:08.274",777
020123L,1,"2020-06-08 12:19:08.283",135
020033L,1,"2020-06-08 12:19:08.288",716
020063L,1,"2020-06-08 12:19:08.293",70
020093L,1,"2020-06-08 12:21:05.301",776
020123L,1,"2020-06-08 12:21:05.309",137
020033L,1,"2020-06-08 12:21:05.314",715
020063L,1,"2020-06-08 12:21:05.318",70
020093L,1,"2020-06-08 12:25:01.747",776
020123L,1,"2020-06-08 12:25:01.755",136
020033L,1,"2020-06-08 12:25:01.760",715
020063L,1,"2020-06-08 12:25:01.764",71
020093L,1,"2020-06-08 12:26:51.462",776
020123L,1,"2020-06-08 12:26:51.470",137
020033L,1,"2020-06-08 12:26:51.475",715
020063L,1,"2020-06-08 12:26:51.479",70
020093L,1,"2020-06-08 12:28:40.632",775
020123L,1,"2020-06-08 12:28:40.642",137
020033L,1,"2020-06-08 12:28:40.646",714
020063L,1,"2020-06-08 12:28:40.651",71
020093L,1,"2020-06-08 12:30:38.287",777
020123L,1,"2020-06-08 12:30:38.296",135
020033L,1,"2020-06-08 12:30:38.300",714
020063L,1,"2020-06-08 12:30:38.305",70
020093L,1,"2020-06-08 12:33:56.970",777
020123L,1,"2020-06-08 12:33:56.978",135
020033L,1,"2020-06-08 12:33:56.983",715
020063L,1,"2020-06-08 12:33:56.987",71
020093L,1,"2020-06-08 12:35:47.000",775
020123L,1,"2020-06-08 12:35:47.008",136
020033L,1,"2020-06-08 12:35:47.013",715
020063L,1,"2020-06-08 12:35:47.017",70
020093L,1,"2020-06-08 12:37:33.776",777
020123L,1,"2020-06-08 12:37:33.785",135
020033L,1,"2020-06-08 12:37:33.790",714
020063L,1,"2020-06-08 12:37:33.794",71
020093L,1,"2020-06-08 12:40:17.124",777
020123L,1,"2020-06-08 12:40:17.133",136
020033L,1,"2020-06-08 12:40:17.137",715
020063L,1,"2020-06-08 12:40:17.142",71
020093L,1,"2020-06-08 12:42:30.226",777
020123L,1,"2020-06-08 12:42:30.235",137
020033L,1,"2020-06-08 12:42:30.239",714
020063L,1,"2020-06-08 12:42:30.243",70
020093L,1,"2020-06-08 12:44:29.853",779
020123L,1,"2020-06-08 12:44:29.861",135
020033L,1,"2020-06-08 12:44:29.866",715
020063L,1,"2020-06-08 12:44:29.870",70
020093L,1,"2020-06-08 12:46:40.872",775
020123L,1,"2020-06-08 12:46:40.880",135
020033L,1,"2020-06-08 12:46:40.885",716
020063L,1,"2020-06-08 12:46:40.889",71
020093L,1,"2020-06-08 12:50:09.476",778
020123L,1,"2020-06-08 12:50:09.485",136
020033L,1,"2020-06-08 12:50:09.490",715
020063L,1,"2020-06-08 12:50:09.495",71
020093L,1,"2020-06-08 12:52:14.885",776
020123L,1,"2020-06-08 12:52:14.895",137
020033L,1,"2020-06-08 12:52:14.899",715
020063L,1,"2020-06-08 12:52:14.904",70
020093L,1,"2020-06-08 12:56:54.796",778
020123L,1,"2020-06-08 12:56:54.803",137
020033L,1,"2020-06-08 12:56:54.807",716
020063L,1,"2020-06-08 12:56:54.812",71
020093L,1,"2020-06-08 12:58:58.034",776
020123L,1,"2020-06-08 12:58:58.043",137
020033L,1,"2020-06-08 12:58:58.047",716
020063L,1,"2020-06-08 12:58:58.052",71
020093L,1,"2020-06-08 13:00:45.248",777
020123L,1,"2020-06-08 13:00:45.256",136
020033L,1,"2020-06-08 13:00:45.260",714
020063L,1,"2020-06-08 13:00:45.265",70
020093L,1,"2020-06-08 13:06:08.766",776
020123L,1,"2020-06-08 13:06:08.775",135
020033L,1,"2020-06-08 13:06:08.780",716
020063L,1,"2020-06-08 13:06:08.784",71
020093L,1,"2020-06-08 13:07:55.978",777
020123L,1,"2020-06-08 13:07:55.987",137
020033L,1,"2020-06-08 13:07:55.991",715
020063L,1,"2020-06-08 13:07:55.995",70
020093L,1,"2020-06-08 13:10:20.446",775
020123L,1,"2020-06-08 13:10:20.455",136
020033L,1,"2020-06-08 13:10:20.459",717
020063L,1,"2020-06-08 13:10:20.464",71
020093L,1,"2020-06-08 13:12:59.040",776
020123L,1,"2020-06-08 13:12:59.049",138
020033L,1,"2020-06-08 13:12:59.054",715
020063L,1,"2020-06-08 13:12:59.058",70
020093L,1,"2020-06-08 13:15:02.233",775
020123L,1,"2020-06-08 13:15:02.241",137
