prop_tag,prop_status,date_time,prop_value
020033L,1,"2020-06-19 18:40:21.520",715
020033L,1,"2020-06-18 12:57:56.219",715
020033L,1,"2020-06-18 07:50:07.666",714
020033L,1,"2020-06-17 12:30:30.208",713
020033L,1,"2020-06-18 16:11:13.510",715
020033L,1,"2020-06-18 11:24:53.010",714
020033L,1,"2020-06-22 10:30:03.836",713
020033L,1,"2020-06-21 11:35:39.410",715
020033L,1,"2020-06-20 09:20:49.542",716
020033L,0,"2020-06-21 20:32:34.527",712
020033L,1,"2020-06-17 23:50:33.284",716
020033L,1,"2020-06-17 14:03:35.892",713
020033L,1,"2020-06-22 10:01:27.521",713
020033L,1,"2020-06-18 23:56:32.082",716
020033L,1,"2020-06-20 23:32:43.199",713
020033L,1,"2020-06-20 11:36:52.916",713
020033L,1,"2020-06-21 12:47:15.819",716
020033L,1,"2020-06-20 13:02:48.273",714
020033L,0,"2020-06-22 12:31:48.230",712
020033L,1,"2020-06-19 08:39:07.742",716
020033L,1,"2020-06-21 08:43:56.090",714
020033L,1,"2020-06-22 03:20:38.771",715
020033L,1,"2020-06-17 14:25:07.303",715
020033L,1,"2020-06-17 21:41:45.539",715
020033L,1,"2020-06-22 02:23:23.942",714
020033L,1,"2020-06-20 14:43:03.225",713
020033L,1,"2020-06-21 19:28:13.439",714
020033L,1,"2020-06-22 06:19:38.474",714
020033L,1,"2020-06-18 11:32:08.158",714
020033L,1,"2020-06-20 06:43:26.776",715
020033L,1,"2020-06-21 17:55:10.095",714
020033L,1,"2020-06-18 02:28:06.331",714
020033L,1,"2020-06-21 12:54:29.047",716
020033L,1,"2020-06-20 12:27:03.755",716
020033L,1,"2020-06-19 08:53:30.156",713
020033L,1,"2020-06-22 12:17:32.264",714
020033L,1,"2020-06-17 22:17:34.833",714
020033L,1,"2020-06-19 12:49:43.240",714
020033L,1,"2020-06-18 16:47:08.239",715
020033L,1,"2020-06-20 18:46:29.582",714
020033L,1,"2020-06-20 09:35:15.363",714
020033L,1,"2020-06-19 18:11:51.897",715
020033L,1,"2020-06-18 14:09:39.294",714
020033L,1,"2020-06-19 22:00:55.951",715
020033L,1,"2020-06-18 17:15:47.370",715
020033L,1,"2020-06-17 17:38:26.442",716
020033L,1,"2020-06-17 12:44:58.181",715
020033L,1,"2020-06-17 20:51:44.402",714
020033L,1,"2020-06-17 12:09:12.207",714
020033L,1,"2020-06-18 16:54:21.029",715
020033L,1,"2020-06-22 07:52:47.361",714
020033L,1,"2020-06-21 19:49:47.710",713
020033L,1,"2020-06-18 09:52:01.096",713
020033L,1,"2020-06-21 07:39:38.270",714
020033L,1,"2020-06-18 04:44:13.182",715
020033L,1,"2020-06-18 12:08:02.843",714
020033L,1,"2020-06-19 22:22:29.497",713
020033L,1,"2020-06-20 21:38:22.088",714
020033L,1,"2020-06-19 08:32:08.090",714
020033L,1,"2020-06-22 00:36:09.482",713
020033L,1,"2020-06-19 17:57:39.059",716
020033L,1,"2020-06-19 01:15:28.615",716
020033L,1,"2020-06-18 12:22:23.589",716
020033L,1,"2020-06-18 11:17:58.299",714
020033L,1,"2020-06-20 14:36:04.066",718
020033L,1,"2020-06-21 02:31:55.243",714
020033L,1,"2020-06-21 01:56:07.216",713
020033L,1,"2020-06-18 03:11:13.289",713
020033L,1,"2020-06-18 01:16:42.333",714
020033L,1,"2020-06-19 02:55:44.073",716
020033L,1,"2020-06-17 11:19:11.602",714
020033L,1,"2020-06-18 16:04:20.313",717
020033L,0,"2020-06-22 11:34:46.329",712
020033L,1,"2020-06-22 02:09:16.949",713
020033L,1,"2020-06-19 16:03:09.374",714
020033L,1,"2020-06-21 05:02:15.296",715
020033L,1,"2020-06-18 07:00:19.035",716
020033L,1,"2020-06-22 09:54:33.993",715
020033L,1,"2020-06-20 21:02:39.151",714
020033L,1,"2020-06-19 09:08:00.557",713
020033L,1,"2020-06-19 14:08:38.388",713
020033L,1,"2020-06-19 04:57:27.778",713
020033L,1,"2020-06-22 08:57:18.511",715
020033L,1,"2020-06-22 08:00:03.408",716
020033L,1,"2020-06-21 07:46:54.059",715
020033L,1,"2020-06-18 11:46:40.067",714
020033L,1,"2020-06-20 17:06:27.353",716
020033L,1,"2020-06-22 06:48:29.443",715
020033L,1,"2020-06-22 03:06:35.151",713
020033L,1,"2020-06-19 07:27:47.999",714
020033L,1,"2020-06-18 20:07:45.704",713
020033L,1,"2020-06-18 10:35:05.532",713
020033L,1,"2020-06-18 04:51:29.801",717
020033L,1,"2020-06-20 00:24:18.063",713
020033L,1,"2020-06-21 05:09:27.463",714
020033L,1,"2020-06-18 14:45:39.110",715
020033L,1,"2020-06-18 00:48:08.164",718
020033L,1,"2020-06-18 06:17:24.979",716
020033L,1,"2020-06-20 17:42:17.047",714
020033L,1,"2020-06-21 06:49:40.611",713
020033L,1,"2020-06-20 19:29:39.823",714
020033L,1,"2020-06-20 01:00:06.836",715
020033L,1,"2020-06-19 05:26:08.887",716
020033L,1,"2020-06-20 12:34:28.212",713
020033L,1,"2020-06-20 08:52:32.160",715
020033L,1,"2020-06-18 10:20:48.860",714
020033L,1,"2020-06-18 21:33:42.629",713
020033L,1,"2020-06-18 01:59:44.474",714
020033L,1,"2020-06-19 14:58:49.550",713
020033L,1,"2020-06-19 06:37:45.163",715
020033L,1,"2020-06-18 01:52:35.331",714
020033L,1,"2020-06-21 01:49:04.525",714
020033L,1,"2020-06-21 14:35:00.191",713
020033L,1,"2020-06-19 21:25:23.315",713
020033L,1,"2020-06-20 14:57:40.968",714
020033L,1,"2020-06-21 09:27:11.869",716
020033L,1,"2020-06-17 19:26:03.881",716
020033L,1,"2020-06-22 09:40:21.742",716
020033L,1,"2020-06-20 10:11:19.194",715
020033L,1,"2020-06-20 04:34:54.137",714
020033L,1,"2020-06-21 04:40:54.709",714
020033L,1,"2020-06-20 23:11:37.339",715
020033L,1,"2020-06-19 04:21:46.850",714
020033L,1,"2020-06-22 04:39:44.658",714
020033L,1,"2020-06-19 10:05:23.795",714
020033L,1,"2020-06-18 02:35:35.772",716
020033L,1,"2020-06-18 17:51:52.577",717
020033L,1,"2020-06-17 23:08:01.131",716
020033L,1,"2020-06-20 12:48:52.527",714
020033L,1,"2020-06-22 07:45:53.336",714
020033L,1,"2020-06-21 02:53:34.312",714
020033L,1,"2020-06-22 02:52:24.167",714
020033L,0,"2020-06-21 16:43:56.230",712
020033L,1,"2020-06-18 22:38:13.352",715
020033L,1,"2020-06-19 15:13:14.106",715
020033L,1,"2020-06-18 01:02:34.584",713
020033L,1,"2020-06-22 04:25:28.251",714
020033L,0,"2020-06-21 11:21:47.973",712
020033L,1,"2020-06-22 08:21:41.251",716
020033L,1,"2020-06-22 01:05:02.010",715
020033L,1,"2020-06-20 19:51:14.589",716
020033L,1,"2020-06-22 05:37:04.522",715
020033L,1,"2020-06-19 03:31:44.693",717
020033L,1,"2020-06-17 14:18:20.716",715
020033L,1,"2020-06-21 00:44:45.642",713
020033L,1,"2020-06-19 11:45:40.646",714
020033L,1,"2020-06-19 01:30:03.403",715
020033L,1,"2020-06-20 14:29:09.555",715
020033L,0,"2020-06-21 02:24:59.956",712
020033L,1,"2020-06-18 06:24:44.294",714
020033L,1,"2020-06-20 07:48:15.899",714
020033L,1,"2020-06-21 03:36:35.272",713
020033L,1,"2020-06-22 07:17:19.248",715
020033L,1,"2020-06-21 13:16:22.119",715
020033L,1,"2020-06-21 23:24:51.257",716
020033L,1,"2020-06-18 21:12:23.408",715
020033L,1,"2020-06-17 18:43:14.913",716
020033L,1,"2020-06-21 14:06:31.081",714
020033L,1,"2020-06-17 18:00:18.168",716
020033L,1,"2020-06-22 12:10:48.218",713
020033L,1,"2020-06-18 19:39:20.697",715
020033L,1,"2020-06-20 18:11:07.093",714
020033L,1,"2020-06-20 04:49:22.453",715
020033L,1,"2020-06-21 21:59:01.259",714
020033L,1,"2020-06-19 02:05:54.368",715
020033L,1,"2020-06-21 04:55:22.204",713
020033L,1,"2020-06-22 03:42:37.620",713
020033L,1,"2020-06-21 16:15:25.582",715
020033L,1,"2020-06-19 14:51:52.731",713
020033L,1,"2020-06-22 03:49:48.196",715
020033L,1,"2020-06-21 19:57:21.600",715
020033L,1,"2020-06-22 08:43:17.728",713
020033L,1,"2020-06-22 02:38:13.466",714
020033L,1,"2020-06-18 11:54:07.203",714
020033L,1,"2020-06-18 15:21:42.733",714
020033L,1,"2020-06-19 16:17:47.879",714
020033L,1,"2020-06-21 13:59:26.561",713
020033L,1,"2020-06-21 06:21:19.050",713
020033L,1,"2020-06-21 02:17:57.650",716
020033L,0,"2020-06-17 12:38:16.919",0
020033L,1,"2020-06-19 04:29:09.292",713
020033L,1,"2020-06-22 07:24:36.134",715
020033L,1,"2020-06-20 10:18:42.525",714
020033L,1,"2020-06-20 00:17:26.908",715
020033L,1,"2020-06-18 00:12:38.515",715
020033L,1,"2020-06-17 16:13:03.177",713
020033L,1,"2020-06-20 09:00:00.258",713
020033L,1,"2020-06-18 09:23:50.748",716
020033L,1,"2020-06-22 12:25:14.703",713
020033L,1,"2020-06-22 09:11:59.151",713
020033L,1,"2020-06-22 07:38:57.143",713
020033L,1,"2020-06-20 08:09:54.184",714
020033L,1,"2020-06-21 09:34:37.994",716
020033L,1,"2020-06-18 00:55:37.469",714
020033L,1,"2020-06-18 20:51:03.836",714
020033L,0,"2020-06-19 10:19:57.637",712
020033L,1,"2020-06-21 01:42:12.862",716
020033L,1,"2020-06-21 13:23:41.353",713
020033L,1,"2020-06-17 21:13:43.113",714
020033L,1,"2020-06-21 12:04:57.179",716
020033L,1,"2020-06-21 20:47:33.086",714
020033L,1,"2020-06-19 10:27:07.376",714
020033L,1,"2020-06-19 01:23:04.509",713
020033L,1,"2020-06-18 15:43:16.017",716
020033L,1,"2020-06-21 20:40:24.389",715
020033L,1,"2020-06-17 17:24:40.966",716
020033L,1,"2020-06-18 02:21:32.940",716
020033L,1,"2020-06-21 11:29:11.448",714
020033L,1,"2020-06-17 13:28:28.881",717
020033L,1,"2020-06-20 16:16:44.462",714
020033L,1,"2020-06-19 09:51:21.758",714
020033L,1,"2020-06-21 23:53:41.155",714
020033L,1,"2020-06-17 19:55:00.830",713
020033L,1,"2020-06-21 04:05:25.767",713
020033L,1,"2020-06-21 04:48:21.823",714
020033L,1,"2020-06-18 19:03:43.706",714
020033L,1,"2020-06-18 08:26:39.271",715
020033L,1,"2020-06-18 22:31:19.698",713
020033L,1,"2020-06-21 20:11:48.681",715
020033L,1,"2020-06-19 04:36:25.009",716
020033L,1,"2020-06-22 10:09:19.581",714
020033L,1,"2020-06-19 07:21:04.211",714
020033L,1,"2020-06-20 06:51:14.502",715
020033L,1,"2020-06-17 17:31:53.490",717
020033L,0,"2020-06-20 19:01:26.390",712
020033L,1,"2020-06-18 00:27:04.868",717
020033L,1,"2020-06-18 22:17:03.706",715
020033L,1,"2020-06-17 21:06:39.638",716
020033L,0,"2020-06-21 01:13:41.261",712
020033L,1,"2020-06-17 22:03:56.005",715
020033L,1,"2020-06-19 10:12:55.279",715
020033L,1,"2020-06-17 17:46:14.244",716
020033L,1,"2020-06-20 17:35:34.235",713
020033L,1,"2020-06-20 07:55:42.796",714
020033L,1,"2020-06-20 19:37:15.538",715
020033L,1,"2020-06-22 08:29:10.333",713
020033L,1,"2020-06-18 20:01:04.778",713
020033L,1,"2020-06-21 04:19:49.799",714
020033L,1,"2020-06-22 04:54:26.331",713
