UUT_NAME,UUT_PART_NUMBER,UUT_SERIAL_NUMBER,STEP_NAME,PROP_TAG,PROP_VALUE,COMP_OPERATOR,STEP_STATUS,SW_VERSION,DATE_TIME,START_DATE_TIME,STATION_ID
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Lift Motor Check",020093R,776,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.190","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Lift Motor Check",021333R,2.3889821049999997,LT,Passed,3.1.0.192,"2020-08-11 21:13:14.190","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Tilt Motor Check",020123R,136,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.197","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Tilt Motor Check",021343R,1.3687714775000002,LT,Passed,3.1.0.192,"2020-08-11 21:13:14.197","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Recline Motor Check",020033R,715,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.202","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Recline Motor Check",021313R,2.07734998,LT,Passed,3.1.0.192,"2020-08-11 21:13:14.202","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Track Motor Check",020053R,1238,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.206","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Track Motor Check",020063R,71,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.206","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Track Motor Check",021323R,2.24773129,LT,Passed,3.1.0.192,"2020-08-11 21:13:14.206","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456943-00-C,TFR202250004HZ,"Track Motor Check",021053R,297.0294058811762,GELE,Passed,3.1.0.192,"2020-08-11 21:13:14.206","2020-08-11 21:12:14.417",HDW-MFG-1RS-01
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Lift Motor Check",020093L,773,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.093","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Lift Motor Check",021333L,3.0688988575000002,LT,Passed,3.1.0.192,"2020-08-12 02:56:50.093","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Tilt Motor Check",020123L,135,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.102","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Tilt Motor Check",021343L,1.5102812925,LT,Passed,3.1.0.192,"2020-08-12 02:56:50.102","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Recline Motor Check",020033L,715,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.106","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Recline Motor Check",021313L,2.14181649,LT,Passed,3.1.0.192,"2020-08-12 02:56:50.106","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Track Motor Check",020053L,1238,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.111","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Track Motor Check",020063L,70,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.111","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Track Motor Check",021323L,2.248521125,LT,Passed,3.1.0.192,"2020-08-12 02:56:50.111","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456942-00-C,TFR20225000C7M,"Track Motor Check",021053L,299.4498899779956,GELE,Passed,3.1.0.192,"2020-08-12 02:56:50.111","2020-08-12 02:55:50.286",HDW-MFG-1RS-02
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Lift Motor Check",020093R,774,GELE,Passed,3.1.0.192,"2020-08-11 21:56:10.982","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Lift Motor Check",021333R,2.34407626,LT,Passed,3.1.0.192,"2020-08-11 21:56:10.982","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Tilt Motor Check",020123R,136,GELE,Passed,3.1.0.192,"2020-08-11 21:56:10.992","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Tilt Motor Check",021343R,1.0937641925000001,LT,Passed,3.1.0.192,"2020-08-11 21:56:10.992","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Recline Motor Check",020033R,718,GELE,Passed,3.1.0.192,"2020-08-11 21:56:10.996","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Recline Motor Check",021313R,2.0010218775000004,LT,Passed,3.1.0.192,"2020-08-11 21:56:10.996","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Track Motor Check",020053R,1240,GELE,Passed,3.1.0.192,"2020-08-11 21:56:11.001","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Track Motor Check",020063R,71,GELE,Passed,3.1.0.192,"2020-08-11 21:56:11.001","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Track Motor Check",021323R,2.1308455325000004,LT,Passed,3.1.0.192,"2020-08-11 21:56:11.001","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR202250005ED,"Track Motor Check",021053R,298.4496899379876,GELE,Passed,3.1.0.192,"2020-08-11 21:56:11.001","2020-08-11 21:55:11.531",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Lift Motor Check",020093R,774,GELE,Passed,3.1.0.192,"2020-08-12 09:59:07.197","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Lift Motor Check",021333R,1.9704204425,LT,Passed,3.1.0.192,"2020-08-12 09:59:07.197","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Tilt Motor Check",020123R,138,GELE,Passed,3.1.0.192,"2020-08-12 09:59:07.207","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Tilt Motor Check",021343R,1.0534835,LT,Passed,3.1.0.192,"2020-08-12 09:59:07.207","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Recline Motor Check",020033R,714,GELE,Passed,3.1.0.192,"2020-08-12 09:59:08.197","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Recline Motor Check",021313R,1.7871446125000001,LT,Passed,3.1.0.192,"2020-08-12 09:59:08.197","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Track Motor Check",020053R,1238,GELE,Passed,3.1.0.192,"2020-08-12 09:59:08.206","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
"Model3 Seat EOL.seq",1456943-00-C,TFR20225000K3D,"Track Motor Check",020063R,71,GELE,Passed,3.1.0.192,"2020-08-12 09:59:08.206","2020-08-12 09:58:10.743",HDW-MFG-1RS-04
