prop_tag,prop_status,date_time,prop_value
020063L,1,"2020-03-06 13:24:00.430",73
020093L,1,"2020-03-06 13:24:09.701",777
020123L,1,"2020-03-06 13:24:09.712",136
020033L,1,"2020-03-06 13:24:18.465",716
020063L,1,"2020-03-06 13:32:05.026",71
020093L,1,"2020-03-06 13:32:14.297",776
020123L,1,"2020-03-06 13:32:14.308",136
020033L,1,"2020-03-06 13:32:23.059",717
020063L,1,"2020-03-06 13:33:07.409",72
020093L,0,"2020-03-06 13:33:14.678",780
020123L,1,"2020-03-06 13:33:14.689",136
020033L,1,"2020-03-06 13:33:22.943",715
020063L,1,"2020-03-06 13:37:55.110",71
020093L,0,"2020-03-06 13:38:03.928",780
020123L,1,"2020-03-06 13:38:03.939",136
020033L,1,"2020-03-06 13:38:12.942",717
020063L,1,"2020-03-06 14:12:38.835",72
020093L,1,"2020-03-06 14:12:45.405",777
020123L,1,"2020-03-06 14:12:45.416",138
020033L,1,"2020-03-06 14:12:54.925",716
020093L,0,"2020-03-06 16:59:06.441",2
020123L,0,"2020-03-06 16:59:06.460",72
020033L,0,"2020-03-06 16:59:06.477",1
020063L,0,"2020-03-06 16:59:06.494",2
020093L,1,"2020-03-06 17:19:06.412",774
020123L,1,"2020-03-06 17:19:06.423",135
020033L,1,"2020-03-06 17:19:10.466",717
020063L,1,"2020-03-06 17:19:10.483",72
020093L,0,"2020-03-06 17:28:19.822",787
020123L,1,"2020-03-06 17:28:19.846",137
020093L,1,"2020-03-06 17:29:13.661",777
020123L,1,"2020-03-06 17:29:13.676",137
020033L,1,"2020-03-06 17:29:14.415",719
020063L,0,"2020-03-06 17:29:18.925",26
020093L,1,"2020-03-06 17:39:25.569",778
020123L,1,"2020-03-06 17:39:25.586",137
020033L,1,"2020-03-06 17:39:32.112",716
020063L,1,"2020-03-06 17:39:32.125",73
020093L,1,"2020-03-06 17:41:39.109",777
020123L,1,"2020-03-06 17:41:39.120",137
020033L,1,"2020-03-06 17:41:46.153",719
020063L,1,"2020-03-06 17:41:46.166",73
020093L,0,"2020-03-12 13:59:11.165",0
020093L,0,"2020-03-12 14:08:17.329",0
020093L,1,"2020-03-12 14:49:27.144",776
