prop_tag,prop_status,date_time,prop_value
020093L,0,"2020-05-11 09:20:35.936",0
020123L,1,"2020-05-11 09:20:35.970",137
020033L,1,"2020-05-11 09:20:45.979",716
020063L,1,"2020-05-11 09:20:48.461",71
020093L,1,"2020-05-11 09:25:38.799",775
020123L,1,"2020-05-11 09:25:38.807",137
020033L,1,"2020-05-11 09:25:44.840",714
020063L,1,"2020-05-11 09:25:46.774",72
020093L,1,"2020-05-11 10:07:05.202",778
020123L,1,"2020-05-11 10:07:05.210",135
020093L,1,"2020-05-11 10:08:10.022",776
020123L,1,"2020-05-11 10:08:10.030",135
020033L,1,"2020-05-11 10:08:10.771",717
020063L,1,"2020-05-11 10:08:16.788",71
020093L,1,"2020-05-11 10:52:31.655",776
020123L,1,"2020-05-11 10:52:31.661",138
020033L,1,"2020-05-11 10:52:40.448",717
020063L,0,"2020-05-11 10:52:40.452",0
020093L,1,"2020-05-11 10:58:08.477",775
020123L,1,"2020-05-11 10:58:08.485",135
020033L,1,"2020-05-11 10:58:12.771",719
020063L,1,"2020-05-11 10:58:15.703",71
020093L,1,"2020-05-11 11:00:18.575",775
020123L,1,"2020-05-11 11:00:18.581",136
020033L,1,"2020-05-11 11:00:18.585",716
020063L,1,"2020-05-11 11:00:18.590",71
020093L,1,"2020-05-11 13:07:14.533",775
020123L,1,"2020-05-11 13:07:14.542",137
020033L,1,"2020-05-11 13:07:22.600",715
020063L,1,"2020-05-11 13:07:22.605",71
020093L,0,"2020-05-11 13:09:06.242",0
020123L,0,"2020-05-11 13:09:11.015",0
020033L,0,"2020-05-11 13:09:11.020",0
020063L,0,"2020-05-11 13:09:11.026",0
020093L,1,"2020-05-11 13:11:48.412",775
020123L,1,"2020-05-11 13:11:48.419",137
020033L,1,"2020-05-11 13:11:54.206",718
020063L,1,"2020-05-11 13:11:54.211",71
020093L,1,"2020-05-11 13:13:21.336",777
020123L,1,"2020-05-11 13:13:21.343",136
020033L,1,"2020-05-11 13:13:29.879",715
020063L,0,"2020-05-11 13:13:29.884",0
020093L,1,"2020-05-11 13:27:41.977",779
020123L,1,"2020-05-11 13:27:41.984",137
020033L,1,"2020-05-11 13:27:50.771",718
020063L,0,"2020-05-11 13:27:50.776",0
020093L,1,"2020-05-11 20:19:11.191",776
020123L,1,"2020-05-11 20:19:11.198",136
020033L,1,"2020-05-11 20:19:20.236",717
020063L,0,"2020-05-11 20:19:20.241",0
020093L,1,"2020-05-11 20:39:26.962",775
020123L,1,"2020-05-11 20:39:26.969",137
020033L,1,"2020-05-11 20:39:32.006",717
020063L,0,"2020-05-11 20:39:32.011",0
020093L,1,"2020-05-11 21:32:36.808",774
020123L,1,"2020-05-11 21:32:36.839",137
020033L,1,"2020-05-11 21:32:36.868",715
020063L,1,"2020-05-11 21:32:36.897",72
020093L,1,"2020-05-13 00:55:37.691",777
020123L,1,"2020-05-13 00:55:37.725",136
020033L,1,"2020-05-13 00:55:45.484",717
020063L,1,"2020-05-13 00:55:45.514",70
020093L,1,"2020-05-13 01:14:52.527",778
020123L,1,"2020-05-13 01:14:52.556",137
020033L,1,"2020-05-13 01:14:52.585",715
020063L,1,"2020-05-13 01:14:52.615",71
020093L,1,"2020-05-13 02:10:13.284",776
020123L,1,"2020-05-13 02:10:13.316",138
020033L,1,"2020-05-13 02:10:13.346",718
020063L,1,"2020-05-13 02:10:13.376",71
020093L,1,"2020-05-13 14:24:33.884",775
020123L,1,"2020-05-13 14:24:33.916",135
020033L,1,"2020-05-13 14:24:33.947",716
020063L,1,"2020-05-13 14:24:33.977",71
020093L,1,"2020-05-13 14:33:28.226",774
020123L,1,"2020-05-13 14:33:28.231",136
020033L,1,"2020-05-13 14:33:34.268",719
020063L,1,"2020-05-13 14:33:39.201",71
020093L,1,"2020-05-13 14:35:59.707",775
020123L,1,"2020-05-13 14:35:59.716",136
020033L,1,"2020-05-13 14:36:04.998",719
020063L,1,"2020-05-13 14:36:08.680",71
020093L,1,"2020-05-13 14:38:35.016",774
020123L,1,"2020-05-13 14:38:35.023",135
020033L,1,"2020-05-13 14:38:42.056",718
020063L,1,"2020-05-13 14:38:44.490",70
020093L,1,"2020-05-13 14:45:21.382",777
020123L,1,"2020-05-13 14:45:21.390",137
020033L,0,"2020-05-13 14:45:29.421",720
020063L,1,"2020-05-13 14:45:30.330",71
020093L,1,"2020-05-13 15:02:29.073",774
020123L,1,"2020-05-13 15:02:29.081",135
020093L,1,"2020-05-13 15:04:20.285",777
020123L,1,"2020-05-13 15:04:20.295",135
020033L,1,"2020-05-13 15:04:21.828",718
020063L,1,"2020-05-13 15:04:29.261",71
020093L,1,"2020-05-13 16:27:27.329",777
020123L,1,"2020-05-13 16:27:27.337",137
020033L,1,"2020-05-13 16:27:27.342",716
020063L,1,"2020-05-13 16:27:27.347",71
020093L,1,"2020-05-13 16:43:58.645",774
020123L,1,"2020-05-13 16:43:58.653",135
020033L,1,"2020-05-13 16:44:05.688",716
020063L,1,"2020-05-13 16:44:05.694",71
020093L,1,"2020-05-14 01:38:11.039",776
020123L,1,"2020-05-14 01:38:11.070",136
020033L,1,"2020-05-14 01:38:11.100",715
020063L,1,"2020-05-14 01:38:11.130",72
020093L,1,"2020-05-14 01:39:34.139",775
020123L,1,"2020-05-14 01:39:34.146",136
020033L,1,"2020-05-14 01:39:41.934",719
020063L,1,"2020-05-14 01:39:42.092",71
020093L,1,"2020-05-14 20:57:33.056",777
020123L,1,"2020-05-14 20:57:33.099",137
020033L,1,"2020-05-14 20:57:37.351",716
020063L,1,"2020-05-14 20:57:40.080",71
020093L,1,"2020-05-14 22:16:23.054",778
020123L,1,"2020-05-14 22:16:23.062",136
020093L,1,"2020-05-14 22:17:53.332",774
020123L,1,"2020-05-14 22:17:53.339",136
020033L,1,"2020-05-14 22:17:56.375",716
020063L,1,"2020-05-14 22:18:02.306",71
020093L,1,"2020-05-15 04:02:55.379",778
020123L,1,"2020-05-15 04:02:55.386",135
020033L,1,"2020-05-15 04:03:01.670",714
020063L,1,"2020-05-15 04:03:02.829",70
020093L,1,"2020-05-17 07:58:16.185",778
020123L,1,"2020-05-17 07:58:16.216",135
020033L,1,"2020-05-17 07:58:16.247",713
020063L,1,"2020-05-17 07:58:16.277",70
020093L,1,"2020-05-17 09:27:11.532",773
020123L,1,"2020-05-17 09:27:11.543",134
020033L,0,"2020-05-17 09:27:11.548",712
020063L,1,"2020-05-17 09:27:11.556",71
020093L,1,"2020-05-17 09:28:26.030",775
020123L,1,"2020-05-17 09:28:26.038",135
020033L,1,"2020-05-17 09:28:33.824",713
020063L,1,"2020-05-17 09:28:37.508",71
020093L,1,"2020-05-17 10:07:05.089",775
020123L,1,"2020-05-17 10:07:05.096",136
020033L,1,"2020-05-17 10:07:05.100",713
020063L,1,"2020-05-17 10:07:05.105",71
020093L,1,"2020-05-17 10:08:19.161",775
020123L,1,"2020-05-17 10:08:19.168",134
020033L,1,"2020-05-17 10:08:26.212",716
020063L,1,"2020-05-17 10:08:28.637",71
020093L,1,"2020-05-17 12:04:33.086",778
020123L,1,"2020-05-17 12:04:33.094",136
020033L,1,"2020-05-17 12:04:33.098",716
020063L,1,"2020-05-17 12:04:33.103",70
020093L,1,"2020-05-17 12:28:00.842",777
020123L,1,"2020-05-17 12:28:00.849",137
020033L,1,"2020-05-17 12:28:05.385",716
020063L,1,"2020-05-17 12:28:06.292",71
020093L,1,"2020-05-17 12:34:37.573",779
020123L,1,"2020-05-17 12:34:37.580",136
020093L,1,"2020-05-17 12:35:41.628",777
020123L,1,"2020-05-17 12:35:41.635",136
020033L,0,"2020-05-17 12:35:45.420",721
020063L,1,"2020-05-17 12:35:52.601",71
020093L,1,"2020-05-17 12:37:00.704",779
020123L,1,"2020-05-17 12:37:00.712",137
020033L,1,"2020-05-17 12:37:09.497",718
020063L,1,"2020-05-17 12:37:09.907",71
020093L,1,"2020-05-17 13:39:16.168",774
020123L,1,"2020-05-17 13:39:16.176",136
020033L,1,"2020-05-17 13:39:16.180",716
020063L,1,"2020-05-17 13:39:16.185",71
020093L,1,"2020-05-17 13:48:11.536",777
020123L,1,"2020-05-17 13:48:11.545",134
020033L,1,"2020-05-17 13:48:11.550",716
020063L,1,"2020-05-17 13:48:11.555",70
020093L,1,"2020-05-17 14:13:35.285",779
020123L,1,"2020-05-17 14:13:35.293",138
020033L,1,"2020-05-17 14:13:35.783",715
020063L,1,"2020-05-17 14:13:35.793",71
020093L,1,"2020-05-17 14:19:58.014",775
020123L,1,"2020-05-17 14:19:58.021",137
020033L,1,"2020-05-17 14:19:58.026",717
020063L,1,"2020-05-17 14:19:58.030",70
020093L,1,"2020-05-17 16:33:06.880",778
020123L,1,"2020-05-17 16:33:06.887",137
020033L,1,"2020-05-17 16:33:15.425",716
020063L,1,"2020-05-17 16:33:16.579",71
020093L,1,"2020-05-17 16:48:26.614",777
020123L,1,"2020-05-17 16:48:26.623",136
020033L,1,"2020-05-17 16:48:30.408",715
020063L,1,"2020-05-17 16:48:32.839",71
020093L,1,"2020-05-17 16:54:57.511",775
020123L,1,"2020-05-17 16:54:57.520",135
020033L,1,"2020-05-17 16:54:57.525",713
020063L,1,"2020-05-17 16:54:57.529",71
020093L,1,"2020-05-17 16:57:05.382",776
020123L,1,"2020-05-17 16:57:05.389",135
020033L,1,"2020-05-17 16:57:11.176",713
020063L,1,"2020-05-17 16:57:13.855",71
020093L,1,"2020-05-17 16:59:34.107",774
020123L,1,"2020-05-17 16:59:34.116",137
020033L,1,"2020-05-17 16:59:34.121",717
020063L,1,"2020-05-17 16:59:34.125",71
020093L,1,"2020-05-17 17:11:05.530",778
020123L,1,"2020-05-17 17:11:05.540",135
020033L,1,"2020-05-17 17:11:13.329",717
020063L,1,"2020-05-17 17:11:13.334",70
020093L,1,"2020-05-17 17:13:36.528",777
020123L,1,"2020-05-17 17:13:36.537",135
020033L,1,"2020-05-17 17:13:40.824",718
020063L,1,"2020-05-17 17:13:40.829",71
020093L,1,"2020-05-17 17:51:21.624",773
020123L,1,"2020-05-17 17:51:21.656",135
020033L,1,"2020-05-17 17:51:21.686",716
020063L,1,"2020-05-17 17:51:21.716",71
020093L,0,"2020-05-17 17:54:08.576",0
020123L,1,"2020-05-17 17:54:08.582",137
020033L,1,"2020-05-17 17:54:18.370",716
020063L,1,"2020-05-17 17:54:18.375",70
020093L,1,"2020-05-18 09:25:36.104",777
020123L,1,"2020-05-18 09:25:36.137",136
020033L,0,"2020-05-18 09:25:36.603",720
020063L,1,"2020-05-18 09:25:36.635",71
020093L,1,"2020-05-18 09:26:42.471",777
020123L,1,"2020-05-18 09:26:42.479",137
020093L,1,"2020-05-18 09:28:27.378",776
020123L,1,"2020-05-18 09:28:27.386",137
020033L,1,"2020-05-18 09:28:28.127",717
020063L,1,"2020-05-18 09:28:33.893",71
020093L,0,"2020-05-18 09:30:40.074",0
020123L,1,"2020-05-18 09:30:40.081",138
020033L,1,"2020-05-18 09:30:50.120",717
020063L,1,"2020-05-18 09:30:50.127",70
020093L,0,"2020-05-18 09:32:01.436",0
020123L,1,"2020-05-18 09:32:01.444",135
020033L,1,"2020-05-18 09:32:12.730",715
020063L,1,"2020-05-18 09:32:13.638",71
020093L,0,"2020-05-18 09:33:18.077",477
020123L,1,"2020-05-18 09:33:18.086",137
020033L,0,"2020-05-18 09:33:25.371",373
020063L,0,"2020-05-18 09:33:28.552",56
020093L,1,"2020-05-18 09:39:57.471",776
020123L,1,"2020-05-18 09:39:57.478",137
020033L,1,"2020-05-18 09:40:04.043",715
020063L,1,"2020-05-18 09:40:04.048",71
020093L,1,"2020-05-18 09:41:42.370",775
020123L,1,"2020-05-18 09:41:42.378",136
020033L,1,"2020-05-18 09:41:42.383",716
020063L,1,"2020-05-18 09:41:42.388",70
020093L,1,"2020-05-18 09:42:53.004",775
020123L,1,"2020-05-18 09:42:53.013",136
020093L,1,"2020-05-18 09:43:55.264",777
020123L,1,"2020-05-18 09:43:55.275",136
020033L,1,"2020-05-18 09:43:56.266",718
020063L,1,"2020-05-18 09:44:05.532",70
020093L,1,"2020-05-18 09:45:11.305",779
020123L,1,"2020-05-18 09:45:11.313",137
020033L,1,"2020-05-18 09:45:16.854",716
020063L,1,"2020-05-18 09:45:19.029",71
020093L,1,"2020-05-18 09:48:32.215",776
020123L,1,"2020-05-18 09:48:32.222",137
020033L,1,"2020-05-18 09:48:39.759",716
020063L,1,"2020-05-18 09:48:39.764",70
020093L,1,"2020-05-18 10:02:14.682",776
020123L,1,"2020-05-18 10:02:14.690",135
020033L,1,"2020-05-18 10:02:14.695",717
020063L,1,"2020-05-18 10:02:14.700",70
020093L,1,"2020-05-18 10:08:04.505",777
020123L,1,"2020-05-18 10:08:04.511",137
020093L,1,"2020-05-18 15:18:23.707",774
020123L,1,"2020-05-18 15:18:23.717",136
020033L,1,"2020-05-18 15:18:23.722",715
020063L,1,"2020-05-18 15:18:23.727",71
020093L,1,"2020-05-18 15:27:43.692",776
020123L,1,"2020-05-18 15:27:43.701",136
020033L,0,"2020-05-18 15:27:43.705",720
020063L,1,"2020-05-18 15:27:43.711",71
020093L,1,"2020-05-18 15:29:45.792",776
020123L,1,"2020-05-18 15:29:45.799",137
020033L,1,"2020-05-18 15:29:52.584",717
020063L,1,"2020-05-18 15:29:54.267",71
020093L,1,"2020-05-18 15:45:22.002",777
020123L,1,"2020-05-18 15:45:22.010",136
020033L,1,"2020-05-18 15:45:28.543",718
020063L,1,"2020-05-18 15:45:31.725",71
020093L,1,"2020-05-18 15:53:52.736",777
020123L,1,"2020-05-18 15:53:52.746",138
020033L,1,"2020-05-18 15:53:52.751",719
020063L,1,"2020-05-18 15:53:52.756",71
020093L,1,"2020-05-18 16:00:52.479",774
020123L,1,"2020-05-18 16:00:52.486",137
020033L,1,"2020-05-18 16:00:52.491",718
020063L,1,"2020-05-18 16:00:52.495",71
020093L,1,"2020-05-18 16:22:07.326",774
020123L,1,"2020-05-18 16:22:07.333",136
020033L,1,"2020-05-18 16:22:07.338",715
020063L,1,"2020-05-18 16:22:07.342",70
020093L,1,"2020-05-18 16:44:24.192",775
020123L,1,"2020-05-18 16:44:24.200",137
020093L,1,"2020-05-18 16:47:53.690",775
020123L,1,"2020-05-18 16:47:53.698",138
020033L,1,"2020-05-18 16:47:55.480",716
020063L,1,"2020-05-18 16:48:03.913",70
020093L,1,"2020-05-18 17:08:14.962",774
020123L,1,"2020-05-18 17:08:14.969",138
020033L,1,"2020-05-18 17:08:19.005",715
020063L,1,"2020-05-18 17:08:19.009",70
020093L,1,"2020-05-18 17:27:44.894",774
020123L,1,"2020-05-18 17:27:44.904",138
020093L,1,"2020-05-18 17:30:44.318",774
020123L,1,"2020-05-18 17:30:44.326",138
020033L,1,"2020-05-18 17:30:45.567",719
020063L,1,"2020-05-18 17:30:53.579",70
020093L,1,"2020-05-18 17:39:14.590",778
020123L,1,"2020-05-18 17:39:14.597",135
020033L,1,"2020-05-18 17:39:15.587",716
020063L,1,"2020-05-18 17:39:15.595",71
020093L,1,"2020-05-18 21:18:07.878",777
020123L,1,"2020-05-18 21:18:07.886",135
020033L,0,"2020-05-18 21:18:07.891",712
020063L,1,"2020-05-18 21:18:07.896",70
020093L,1,"2020-05-18 21:22:01.845",774
020123L,1,"2020-05-18 21:22:01.851",135
020033L,1,"2020-05-18 21:22:07.885",716
020063L,1,"2020-05-18 21:22:09.044",70
020093L,1,"2020-05-19 10:25:49.847",775
020123L,1,"2020-05-19 10:25:49.878",134
020033L,1,"2020-05-19 10:25:49.908",713
020063L,1,"2020-05-19 10:25:49.941",70
020093L,1,"2020-05-19 10:31:19.036",775
