prop_tag,prop_status,date_time,prop_value
020063R,1,"2020-05-10 11:36:23.569",144
020093R,1,"2020-05-10 11:36:46.676",1553
020123R,1,"2020-05-10 11:36:57.183",276
020033R,1,"2020-05-10 11:37:26.588",1430
020063R,1,"2020-05-10 11:38:14.877",144
020093R,1,"2020-05-10 11:38:40.713",1553
020123R,1,"2020-05-10 11:38:52.249",275
020033R,1,"2020-05-10 11:39:22.051",1430
020063R,1,"2020-05-11 07:30:33.499",144
020093R,1,"2020-05-11 07:30:50.665",1553
020123R,1,"2020-05-11 07:31:00.496",275
020033R,1,"2020-05-11 07:31:29.358",1431
020063R,1,"2020-05-11 07:44:02.550",144
020093R,1,"2020-05-11 07:44:31.207",1552
020123R,1,"2020-05-11 07:44:41.549",276
020033R,1,"2020-05-11 07:45:12.138",1431
020063R,0,"2020-05-11 07:53:08.470",0
020093R,1,"2020-05-11 07:53:33.132",1553
020123R,1,"2020-05-11 07:53:43.972",275
020033R,1,"2020-05-11 07:54:12.664",1430
020063R,0,"2020-05-11 07:55:24.465",0
020093R,1,"2020-05-11 07:55:49.173",1553
020123R,1,"2020-05-11 07:55:59.968",276
020033R,1,"2020-05-11 07:56:28.667",1430
020063R,0,"2020-05-11 08:09:54.458",0
020093R,1,"2020-05-11 08:10:18.472",1554
020123R,1,"2020-05-11 08:10:30.306",275
020033R,1,"2020-05-11 08:11:00.017",1431
020063R,1,"2020-05-11 08:47:12.153",144
020093R,1,"2020-05-11 08:48:01.076",1552
020123R,1,"2020-05-11 08:48:10.518",275
020033R,1,"2020-05-11 08:48:41.467",1430
020063R,1,"2020-05-11 09:23:21.395",144
020093R,1,"2020-05-11 09:23:46.499",1553
020123R,1,"2020-05-11 09:23:58.636",275
020033R,1,"2020-05-11 09:24:27.614",1430
020063R,1,"2020-05-11 10:19:58.469",144
020093R,0,"2020-05-11 10:20:16.483",0
020123R,1,"2020-05-11 10:20:39.921",275
020033R,0,"2020-05-11 10:21:11.003",0
020063R,1,"2020-05-11 12:35:50.359",144
020093R,1,"2020-05-11 12:36:16.948",1553
020123R,1,"2020-05-11 12:36:26.480",275
020033R,1,"2020-05-11 12:36:56.614",1430
020063R,1,"2020-05-11 12:48:50.452",144
020093R,1,"2020-05-11 12:49:07.899",1553
020123R,1,"2020-05-11 12:49:17.469",276
020033R,1,"2020-05-11 12:49:47.616",1431
020063R,1,"2020-05-11 13:11:45.298",144
020093R,1,"2020-05-11 13:12:09.345",1552
020123R,1,"2020-05-11 13:12:20.478",275
020033R,1,"2020-05-11 13:12:50.235",1430
020063R,1,"2020-05-11 14:09:58.278",144
020093R,1,"2020-05-11 14:10:23.740",1552
020123R,1,"2020-05-11 14:10:35.111",275
020033R,1,"2020-05-11 14:11:05.269",1431
020063R,1,"2020-05-11 15:17:03.178",144
020063R,1,"2020-05-11 15:22:15.198",144
020093R,1,"2020-05-11 15:22:36.084",1552
020123R,1,"2020-05-11 15:22:48.127",276
020033R,1,"2020-05-11 15:23:18.195",1431
020063R,1,"2020-05-11 18:43:34.233",144
020093R,1,"2020-05-11 18:44:11.472",1552
020123R,1,"2020-05-11 18:44:23.813",275
020033R,1,"2020-05-11 18:44:53.217",1431
020063R,1,"2020-05-11 18:49:27.793",144
020093R,1,"2020-05-11 18:49:46.934",1552
020123R,1,"2020-05-11 18:49:59.048",275
020033R,1,"2020-05-11 18:50:28.755",1431
020063R,1,"2020-05-11 19:05:25.054",144
020093R,1,"2020-05-11 19:05:49.093",1552
020123R,1,"2020-05-11 19:06:01.353",275
020033R,1,"2020-05-11 19:06:31.808",1430
020063R,1,"2020-05-11 19:08:06.105",144
020093R,1,"2020-05-11 19:08:38.505",1552
020123R,1,"2020-05-11 19:08:49.690",276
020033R,1,"2020-05-11 19:09:19.102",1431
020063R,1,"2020-05-11 19:17:42.044",144
020093R,1,"2020-05-11 19:18:06.804",1552
020123R,1,"2020-05-11 19:18:18.749",275
020033R,1,"2020-05-11 19:18:48.908",1431
020063R,1,"2020-05-11 19:30:53.001",144
020093R,1,"2020-05-11 19:31:18.509",1553
020123R,1,"2020-05-11 19:31:30.027",276
020033R,1,"2020-05-11 19:32:00.806",1430
020063R,1,"2020-05-11 19:34:42.154",144
020093R,1,"2020-05-11 19:35:06.189",1553
020123R,1,"2020-05-11 19:35:17.319",275
020033R,1,"2020-05-11 19:35:46.730",1430
020063R,1,"2020-05-11 19:50:14.079",144
020093R,1,"2020-05-11 19:50:50.807",1553
020123R,1,"2020-05-11 19:51:01.320",275
020033R,1,"2020-05-11 19:51:31.088",1430
020063R,1,"2020-05-11 20:29:24.265",144
020093R,1,"2020-05-11 20:30:10.471",1552
020123R,1,"2020-05-11 20:30:20.944",275
020033R,1,"2020-05-11 20:30:52.182",1431
020063R,1,"2020-05-11 22:00:00.083",144
020093R,1,"2020-05-11 22:00:23.780",1553
020123R,1,"2020-05-11 22:00:35.316",275
020033R,1,"2020-05-11 22:01:05.031",1430
020063R,1,"2020-05-12 06:46:46.910",144
020093R,1,"2020-05-12 06:47:11.351",1552
020123R,1,"2020-05-12 06:47:23.225",275
020033R,1,"2020-05-12 06:47:52.654",1431
020063R,1,"2020-05-12 06:59:59.019",144
020093R,1,"2020-05-12 07:00:25.601",1553
020123R,1,"2020-05-12 07:00:34.719",275
020033R,1,"2020-05-12 07:01:04.953",1430
020063R,1,"2020-05-12 07:07:19.969",144
020093R,1,"2020-05-12 07:07:45.062",1553
020123R,1,"2020-05-12 07:07:56.503",275
020033R,1,"2020-05-12 07:08:27.066",1431
020063R,1,"2020-05-12 07:11:15.921",144
020093R,1,"2020-05-12 07:11:43.183",1553
020123R,1,"2020-05-12 07:11:54.428",276
020033R,1,"2020-05-12 07:12:23.904",1430
020063R,0,"2020-05-12 07:13:05.995",0
020093R,1,"2020-05-12 07:13:31.019",1552
020123R,1,"2020-05-12 07:13:43.203",275
020033R,1,"2020-05-12 07:14:12.892",1430
020063R,0,"2020-05-12 07:24:01.998",0
020093R,1,"2020-05-12 07:24:26.641",1552
020123R,1,"2020-05-12 07:24:38.554",275
020033R,1,"2020-05-12 07:25:07.999",1431
020063R,1,"2020-05-12 07:28:56.846",144
020093R,1,"2020-05-12 07:29:21.602",1553
020123R,1,"2020-05-12 07:29:33.558",275
020033R,1,"2020-05-12 07:30:02.991",1430
020063R,1,"2020-05-12 11:22:28.276",144
020093R,1,"2020-05-12 11:22:53.063",1552
020123R,1,"2020-05-12 11:23:04.645",275
020033R,1,"2020-05-12 11:23:34.789",1430
020063R,1,"2020-05-12 11:30:03.299",144
020093R,1,"2020-05-12 11:30:28.752",1553
020123R,1,"2020-05-12 11:30:41.354",276
020033R,1,"2020-05-12 11:31:11.437",1431
020063R,1,"2020-05-12 12:02:30.707",144
020093R,1,"2020-05-12 12:02:47.667",1552
020123R,1,"2020-05-12 12:03:09.640",275
020033R,1,"2020-05-12 12:03:39.692",1430
020063R,1,"2020-05-12 12:06:32.972",144
020093R,1,"2020-05-12 12:06:57.498",1552
020123R,1,"2020-05-12 12:07:10.361",275
